TCM ID,TC ID,Module,Suite,Platform,Profile
TCM-6024,TC-3994,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6022,TC-3995,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6019,TC-3996,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6012,TC-3998,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6035,TC-3999,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5969,TC-4000,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5972,TC-4002,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5971,TC-4003,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5998,TC-4016,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5995,TC-4017,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6002,TC-4019,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6048,TC-4020,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6005,TC-4022,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6007,TC-4024,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5975,TC-4051,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5973,TC-4052,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5978,TC-4053,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5983,TC-4054,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5985,TC-4055,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5987,TC-4056,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5990,TC-4058,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-5993,TC-4059,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6021,TC-4060,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6008,TC-4061,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6009,TC-4063,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6032,TC-4064,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
TCM-6029,TC-4065,Ecp-Cli,Common_Mobile_Ecp_Cli,Common,Mobile
