TCM ID,TC ID,Module,Platform,Profile,Result,Message
TCM-5755,Cli-Native-0003,Cli-Native,Common,Mobile,Pass,
TCM-5754,Cli-Native-0005,Cli-Native,Common,Mobile,Pass,
TCM-5741,Cli-Native-0024,Cli-Native,Common,Mobile,Fail,Line 4027: UpdateResult: text "successfully installed" not exists in the current console
TCM-5758,CssEditor-Web-0001,CssEditor-Web,Common,Mobile,Pass,
TCM-5759,CssEditor-Web-0022,CssEditor-Web,Common,Mobile,Pass,
TCM-5854,Dynamic-Analyzer-0016,Dynamic-Analyzer,Common,Mobile,Pass,
TCM-5855,Dynamic-Analyzer-0033,Dynamic-Analyzer,Common,Mobile,Pass,
TCM-5853,Dynamic-Analyzer-0086,Dynamic-Analyzer,Common,Mobile,Pass,
TCM-5848,Dynamic-Analyzer-Agile-0009,Dynamic-Analyzer,Common,Mobile,Fail,Line 4027: UpdateResult: can not find da-cpu-usage-feature-unselected.png in R[101 101 1021x765]@S(0)
TCM-5850,Dynamic-Analyzer-Agile-0010,Dynamic-Analyzer,Common,Mobile,Pass,
TCM-5849,Dynamic-Analyzer-Agile-0013,Dynamic-Analyzer,Common,Mobile,Pass,
TCM-5851,Dynamic-Analyzer-Agile-0035,Dynamic-Analyzer,Common,Mobile,Pass,
TCM-5824,E-WVGA-0005,E-WVGA,Common,Mobile,Pass,
TCM-5794,E-WVGA-0016,E-WVGA,Common,Mobile,Pass,
TCM-5812,E-WVGA-0037,E-WVGA,Common,Mobile,Pass,
TCM-5825,E-WVGA-0071,E-WVGA,Common,Mobile,Pass,
TCM-5826,E-WVGA-0075,E-WVGA,Common,Mobile,Pass,
TCM-5796,E-WVGA-0084,E-WVGA,Common,Mobile,Pass,
TCM-5797,E-WVGA-0098,E-WVGA,Common,Mobile,Pass,
TCM-5828,E-WVGA-0100,E-WVGA,Common,Mobile,Pass,
TCM-5814,E-WVGA-0136,E-WVGA,Common,Mobile,Pass,
TCM-5808,E-WVGA-0146,E-WVGA,Common,Mobile,Pass,
TCM-5795,E-WVGA-0154,E-WVGA,Common,Mobile,Pass,
TCM-5827,E-WVGA-0192,E-WVGA,Common,Mobile,Pass,
TCM-6117,E-WVGA-CLI-0001,E-WVGA,Common,Mobile,Pass,
TCM-6142,E-WVGA-CLI-0002,E-WVGA,Common,Mobile,Pass,
TCM-6118,E-WVGA-CLI-0003,E-WVGA,Common,Mobile,Pass,
TCM-6119,E-WVGA-CLI-0004,E-WVGA,Common,Mobile,Pass,
TCM-6120,E-WVGA-CLI-0005,E-WVGA,Common,Mobile,Pass,
TCM-6121,E-WVGA-CLI-0006,E-WVGA,Common,Mobile,Pass,
